INFO  | 06/16/2022 09:55:26 PM | File gran_runner.py       | Line 283   | Saving Snapshot @ epoch 0728
INFO  | 06/16/2022 09:55:28 PM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0729 iteration 00000450 = 0.1417437493801117
INFO  | 06/16/2022 09:55:33 PM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0729 iteration 00000455 = 0.14956553280353546
INFO  | 06/16/2022 09:55:37 PM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0729 iteration 00000460 = 0.197914719581604
INFO  | 06/16/2022 09:55:42 PM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0730 iteration 00000465 = 0.1711643636226654
INFO  | 06/16/2022 09:55:47 PM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0730 iteration 00000470 = 0.13253925740718842
INFO  | 06/16/2022 09:55:53 PM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0730 iteration 00000475 = 0.1131971925497055
INFO  | 06/16/2022 09:55:58 PM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0730 iteration 00000480 = 0.19305367767810822
INFO  | 06/16/2022 09:56:02 PM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0731 iteration 00000485 = 0.2101612389087677
INFO  | 06/16/2022 09:56:07 PM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0731 iteration 00000490 = 0.13162223994731903
INFO  | 06/16/2022 09:56:12 PM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0731 iteration 00000495 = 0.20119717717170715
INFO  | 06/16/2022 09:56:17 PM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0732 iteration 00000500 = 0.1064339429140091
INFO  | 06/16/2022 09:56:22 PM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0732 iteration 00000505 = 0.17784634232521057
INFO  | 06/16/2022 09:56:27 PM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0732 iteration 00000510 = 0.14141814410686493
INFO  | 06/16/2022 09:56:29 PM | File gran_runner.py       | Line 283   | Saving Snapshot @ epoch 0732
INFO  | 06/16/2022 09:56:32 PM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0733 iteration 00000515 = 0.1873476356267929
INFO  | 06/16/2022 09:56:36 PM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0733 iteration 00000520 = 0.14651349186897278
INFO  | 06/16/2022 09:56:41 PM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0733 iteration 00000525 = 0.16984930634498596
INFO  | 06/16/2022 09:56:45 PM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0734 iteration 00000530 = 0.16467100381851196
INFO  | 06/16/2022 09:56:50 PM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0734 iteration 00000535 = 0.13547496497631073
INFO  | 06/16/2022 09:56:54 PM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0734 iteration 00000540 = 0.16818396747112274
INFO  | 06/16/2022 09:56:59 PM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0735 iteration 00000545 = 0.12409573793411255
INFO  | 06/16/2022 09:57:04 PM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0735 iteration 00000550 = 0.16662582755088806
INFO  | 06/16/2022 09:57:09 PM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0735 iteration 00000555 = 0.11593034118413925
