INFO  | 06/17/2022 09:08:05 AM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0928 iteration 00000510 = 0.15706537663936615
INFO  | 06/17/2022 09:08:06 AM | File gran_runner.py       | Line 283   | Saving Snapshot @ epoch 0928
INFO  | 06/17/2022 09:08:10 AM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0929 iteration 00000515 = 0.1424635797739029
INFO  | 06/17/2022 09:08:14 AM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0929 iteration 00000520 = 0.17083202302455902
INFO  | 06/17/2022 09:08:20 AM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0929 iteration 00000525 = 0.14939577877521515
INFO  | 06/17/2022 09:08:25 AM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0929 iteration 00000530 = 0.15768598020076752
INFO  | 06/17/2022 09:08:29 AM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0929 iteration 00000535 = 0.15773868560791016
INFO  | 06/17/2022 09:08:34 AM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0929 iteration 00000540 = 0.14500463008880615
INFO  | 06/17/2022 09:08:39 AM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0930 iteration 00000545 = 0.17485959827899933
INFO  | 06/17/2022 09:08:43 AM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0930 iteration 00000550 = 0.1340629905462265
INFO  | 06/17/2022 09:08:48 AM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0930 iteration 00000555 = 0.12619605660438538
INFO  | 06/17/2022 09:08:54 AM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0930 iteration 00000560 = 0.12678445875644684
INFO  | 06/17/2022 09:08:58 AM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0930 iteration 00000565 = 0.18801608681678772
INFO  | 06/17/2022 09:09:02 AM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0930 iteration 00000570 = 0.17564044892787933
INFO  | 06/17/2022 09:09:08 AM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0930 iteration 00000575 = 0.19045719504356384
INFO  | 06/17/2022 09:09:13 AM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0931 iteration 00000580 = 0.165475532412529
INFO  | 06/17/2022 09:09:18 AM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0931 iteration 00000585 = 0.1549350470304489
INFO  | 06/17/2022 09:09:23 AM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0931 iteration 00000590 = 0.15589836239814758
INFO  | 06/17/2022 09:09:28 AM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0931 iteration 00000595 = 0.15837854146957397
INFO  | 06/17/2022 09:09:34 AM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0931 iteration 00000600 = 0.1387793868780136
INFO  | 06/17/2022 09:09:40 AM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0931 iteration 00000605 = 0.14240053296089172
INFO  | 06/17/2022 09:09:45 AM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0932 iteration 00000610 = 0.16028530895709991
INFO  | 06/17/2022 09:09:50 AM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0932 iteration 00000615 = 0.13131125271320343
INFO  | 06/17/2022 09:09:55 AM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0932 iteration 00000620 = 0.1433429718017578
INFO  | 06/17/2022 09:09:59 AM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0932 iteration 00000625 = 0.14670071005821228
INFO  | 06/17/2022 09:10:05 AM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0932 iteration 00000630 = 0.1418069303035736
INFO  | 06/17/2022 09:10:10 AM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0932 iteration 00000635 = 0.15353432297706604
INFO  | 06/17/2022 09:10:14 AM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0932 iteration 00000640 = 0.18212370574474335
INFO  | 06/17/2022 09:10:14 AM | File gran_runner.py       | Line 283   | Saving Snapshot @ epoch 0932
INFO  | 06/17/2022 09:10:19 AM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0933 iteration 00000645 = 0.13539789617061615
INFO  | 06/17/2022 09:10:24 AM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0933 iteration 00000650 = 0.1536065638065338
INFO  | 06/17/2022 09:10:29 AM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0933 iteration 00000655 = 0.17614217102527618
INFO  | 06/17/2022 09:10:34 AM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0933 iteration 00000660 = 0.18658161163330078
INFO  | 06/17/2022 09:10:39 AM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0933 iteration 00000665 = 0.13669075071811676
INFO  | 06/17/2022 09:10:43 AM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0933 iteration 00000670 = 0.15970668196678162
INFO  | 06/17/2022 09:10:48 AM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0934 iteration 00000675 = 0.19971312582492828
INFO  | 06/17/2022 09:10:53 AM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0934 iteration 00000680 = 0.18741771578788757
INFO  | 06/17/2022 09:10:58 AM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0934 iteration 00000685 = 0.19653259217739105
INFO  | 06/17/2022 09:11:03 AM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0934 iteration 00000690 = 0.16559739410877228
INFO  | 06/17/2022 09:11:08 AM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0934 iteration 00000695 = 0.1705368459224701
INFO  | 06/17/2022 09:11:12 AM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0934 iteration 00000700 = 0.16766689717769623
INFO  | 06/17/2022 09:11:17 AM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0935 iteration 00000705 = 0.16316694021224976
INFO  | 06/17/2022 09:11:22 AM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0935 iteration 00000710 = 0.14369742572307587
INFO  | 06/17/2022 09:11:27 AM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0935 iteration 00000715 = 0.11141431331634521
INFO  | 06/17/2022 09:11:31 AM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0935 iteration 00000720 = 0.17196574807167053
INFO  | 06/17/2022 09:11:37 AM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0935 iteration 00000725 = 0.14855751395225525
INFO  | 06/17/2022 09:11:42 AM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0935 iteration 00000730 = 0.13461217284202576
INFO  | 06/17/2022 09:11:47 AM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0935 iteration 00000735 = 0.22225448489189148
INFO  | 06/17/2022 09:11:51 AM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0936 iteration 00000740 = 0.1407831460237503
INFO  | 06/17/2022 09:11:56 AM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0936 iteration 00000745 = 0.13618424534797668
INFO  | 06/17/2022 09:12:01 AM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0936 iteration 00000750 = 0.1429014801979065
