INFO  | 06/29/2022 07:08:17 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 20038 iteration 00001185 = 0.15681838989257812
INFO  | 06/29/2022 07:08:20 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 20038 iteration 00001200 = 0.11126730591058731
INFO  | 06/29/2022 07:08:23 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 20038 iteration 00001215 = 0.1589096337556839
INFO  | 06/29/2022 07:08:26 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 20039 iteration 00001230 = 0.09187253564596176
INFO  | 06/29/2022 07:08:29 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 20039 iteration 00001245 = 0.12295278161764145
INFO  | 06/29/2022 07:08:32 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 20040 iteration 00001260 = 0.2009129822254181
INFO  | 06/29/2022 07:08:35 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 20040 iteration 00001275 = 0.07577313482761383
INFO  | 06/29/2022 07:08:38 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 20041 iteration 00001290 = 0.036268867552280426
INFO  | 06/29/2022 07:08:41 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 20041 iteration 00001305 = 0.054078876972198486
INFO  | 06/29/2022 07:08:44 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 20042 iteration 00001320 = 0.18383288383483887
INFO  | 06/29/2022 07:08:47 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 20042 iteration 00001335 = 0.026654381304979324
INFO  | 06/29/2022 07:08:51 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 20043 iteration 00001350 = 0.0801980122923851
INFO  | 06/29/2022 07:08:54 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 20043 iteration 00001365 = 0.1441792994737625
INFO  | 06/29/2022 07:08:57 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 20044 iteration 00001380 = 0.12258139997720718
INFO  | 06/29/2022 07:09:00 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 20044 iteration 00001395 = 0.08325762301683426
INFO  | 06/29/2022 07:09:04 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 20045 iteration 00001410 = 0.15304115414619446
INFO  | 06/29/2022 07:09:07 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 20045 iteration 00001425 = 0.2029285430908203
INFO  | 06/29/2022 07:09:10 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 20045 iteration 00001440 = 0.10944388061761856
INFO  | 06/29/2022 07:09:13 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 20046 iteration 00001455 = 0.06498028337955475
INFO  | 06/29/2022 07:09:17 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 20046 iteration 00001470 = 0.14332592487335205
INFO  | 06/29/2022 07:09:21 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 20047 iteration 00001485 = 0.08588236570358276
INFO  | 06/29/2022 07:09:24 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 20047 iteration 00001500 = 0.20084349811077118
INFO  | 06/29/2022 07:09:27 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 20048 iteration 00001515 = 0.07496608793735504
INFO  | 06/29/2022 07:09:31 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 20048 iteration 00001530 = 0.033985745161771774
INFO  | 06/29/2022 07:09:34 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 20049 iteration 00001545 = 0.032164085656404495
INFO  | 06/29/2022 07:09:37 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 20049 iteration 00001560 = 0.10267341136932373
INFO  | 06/29/2022 07:09:41 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 20050 iteration 00001575 = 0.07289779931306839
INFO  | 06/29/2022 07:09:44 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 20050 iteration 00001590 = 0.08506176620721817
INFO  | 06/29/2022 07:09:48 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 20051 iteration 00001605 = 0.059522319585084915
INFO  | 06/29/2022 07:09:51 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 20051 iteration 00001620 = 0.08350681513547897
INFO  | 06/29/2022 07:09:55 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 20052 iteration 00001635 = 0.04568880423903465
INFO  | 06/29/2022 07:09:58 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 20052 iteration 00001650 = 0.07657524198293686
INFO  | 06/29/2022 07:10:01 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 20053 iteration 00001665 = 0.10043592751026154
INFO  | 06/29/2022 07:10:05 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 20053 iteration 00001680 = 0.0970202311873436
INFO  | 06/29/2022 07:10:09 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 20053 iteration 00001695 = 0.09456343203783035
INFO  | 06/29/2022 07:10:12 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 20054 iteration 00001710 = 0.15804867446422577
INFO  | 06/29/2022 07:10:16 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 20054 iteration 00001725 = 0.05872900038957596
INFO  | 06/29/2022 07:10:20 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 20055 iteration 00001740 = 0.15517206490039825
INFO  | 06/29/2022 07:10:23 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 20055 iteration 00001755 = 0.08828467130661011
INFO  | 06/29/2022 07:10:27 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 20056 iteration 00001770 = 0.03233540058135986
INFO  | 06/29/2022 07:10:30 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 20056 iteration 00001785 = 0.06634160131216049
INFO  | 06/29/2022 07:10:34 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 20057 iteration 00001800 = 0.08471120893955231
INFO  | 06/29/2022 07:10:38 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 20057 iteration 00001815 = 0.042785048484802246
INFO  | 06/29/2022 07:10:42 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 20058 iteration 00001830 = 0.11483790725469589
INFO  | 06/29/2022 07:10:46 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 20058 iteration 00001845 = 0.06070665270090103
INFO  | 06/29/2022 07:10:50 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 20059 iteration 00001860 = 0.17742016911506653
INFO  | 06/29/2022 07:10:53 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 20059 iteration 00001875 = 0.07497205585241318
INFO  | 06/29/2022 07:10:56 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 20060 iteration 00001890 = 0.12168023735284805
INFO  | 06/29/2022 07:11:00 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 20060 iteration 00001905 = 0.10740691423416138
INFO  | 06/29/2022 07:11:04 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 20060 iteration 00001920 = 0.06236940622329712
INFO  | 06/29/2022 07:11:07 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 20061 iteration 00001935 = 0.07535985112190247
INFO  | 06/29/2022 07:11:11 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 20061 iteration 00001950 = 0.07220268249511719
INFO  | 06/29/2022 07:11:14 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 20062 iteration 00001965 = 0.10652871429920197
INFO  | 06/29/2022 07:11:17 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 20062 iteration 00001980 = 0.16811668872833252
INFO  | 06/29/2022 07:11:21 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 20063 iteration 00001995 = 0.16284815967082977
INFO  | 06/29/2022 07:11:24 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 20063 iteration 00002010 = 0.04632116109132767
INFO  | 06/29/2022 07:11:27 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 20064 iteration 00002025 = 0.16449347138404846
INFO  | 06/29/2022 07:11:31 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 20064 iteration 00002040 = 0.07121588289737701
INFO  | 06/29/2022 07:11:35 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 20065 iteration 00002055 = 0.11336793005466461
INFO  | 06/29/2022 07:11:38 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 20065 iteration 00002070 = 0.23501606285572052
INFO  | 06/29/2022 07:11:42 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 20066 iteration 00002085 = 0.0855596587061882
INFO  | 06/29/2022 07:11:47 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 20066 iteration 00002100 = 0.08507424592971802
INFO  | 06/29/2022 07:11:50 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 20067 iteration 00002115 = 0.1787753403186798
INFO  | 06/29/2022 07:11:53 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 20067 iteration 00002130 = 0.12558642029762268
INFO  | 06/29/2022 07:11:57 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 20068 iteration 00002145 = 0.09752197563648224
INFO  | 06/29/2022 07:12:01 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 20068 iteration 00002160 = 0.11171122640371323
INFO  | 06/29/2022 07:12:04 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 20068 iteration 00002175 = 0.06744270771741867
INFO  | 06/29/2022 07:12:08 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 20069 iteration 00002190 = 0.02867869846522808
INFO  | 06/29/2022 07:12:11 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 20069 iteration 00002205 = 0.06931697577238083
INFO  | 06/29/2022 07:12:15 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 20070 iteration 00002220 = 0.025662070140242577
INFO  | 06/29/2022 07:12:19 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 20070 iteration 00002235 = 0.04279817268252373
INFO  | 06/29/2022 07:12:23 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 20071 iteration 00002250 = 0.08922664076089859
INFO  | 06/29/2022 07:12:26 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 20071 iteration 00002265 = 0.12074048817157745
INFO  | 06/29/2022 07:12:30 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 20072 iteration 00002280 = 0.09785638004541397
INFO  | 06/29/2022 07:12:34 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 20072 iteration 00002295 = 0.12990544736385345
INFO  | 06/29/2022 07:12:37 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 20073 iteration 00002310 = 0.16174037754535675
INFO  | 06/29/2022 07:12:41 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 20073 iteration 00002325 = 0.08997396379709244
INFO  | 06/29/2022 07:12:45 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 20074 iteration 00002340 = 0.23798775672912598
INFO  | 06/29/2022 07:12:48 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 20074 iteration 00002355 = 0.0849573016166687
INFO  | 06/29/2022 07:12:52 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 20075 iteration 00002370 = 0.041288238018751144
INFO  | 06/29/2022 07:12:55 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 20075 iteration 00002385 = 0.08593134582042694
INFO  | 06/29/2022 07:12:59 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 20075 iteration 00002400 = 0.06338639557361603
INFO  | 06/29/2022 07:13:03 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 20076 iteration 00002415 = 0.04007897898554802
INFO  | 06/29/2022 07:13:06 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 20076 iteration 00002430 = 0.15150003135204315
INFO  | 06/29/2022 07:13:09 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 20077 iteration 00002445 = 0.04603901877999306
INFO  | 06/29/2022 07:13:13 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 20077 iteration 00002460 = 0.04730702191591263
INFO  | 06/29/2022 07:13:16 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 20078 iteration 00002475 = 0.16408506035804749
INFO  | 06/29/2022 07:13:20 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 20078 iteration 00002490 = 0.1274634450674057
INFO  | 06/29/2022 07:13:23 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 20079 iteration 00002505 = 0.11103229969739914
INFO  | 06/29/2022 07:13:27 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 20079 iteration 00002520 = 0.06219445541501045
INFO  | 06/29/2022 07:13:31 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 20080 iteration 00002535 = 0.13268990814685822
INFO  | 06/29/2022 07:13:35 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 20080 iteration 00002550 = 0.08316200226545334
INFO  | 06/29/2022 07:13:38 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 20081 iteration 00002565 = 0.14804020524024963
INFO  | 06/29/2022 07:13:42 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 20081 iteration 00002580 = 0.059146057814359665
INFO  | 06/29/2022 07:13:46 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 20082 iteration 00002595 = 0.12169302999973297
INFO  | 06/29/2022 07:13:50 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 20082 iteration 00002610 = 0.13095246255397797
INFO  | 06/29/2022 07:13:53 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 20083 iteration 00002625 = 0.18918785452842712
INFO  | 06/29/2022 07:13:56 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 20083 iteration 00002640 = 0.10466302931308746
INFO  | 06/29/2022 07:14:00 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 20083 iteration 00002655 = 0.0667802095413208
INFO  | 06/29/2022 07:14:03 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 20084 iteration 00002670 = 0.1034817099571228
INFO  | 06/29/2022 07:14:07 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 20084 iteration 00002685 = 0.16745765507221222
INFO  | 06/29/2022 07:14:11 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 20085 iteration 00002700 = 0.10092294216156006
INFO  | 06/29/2022 07:14:14 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 20085 iteration 00002715 = 0.14159715175628662
INFO  | 06/29/2022 07:14:18 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 20086 iteration 00002730 = 0.0630592554807663
INFO  | 06/29/2022 07:14:21 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 20086 iteration 00002745 = 0.10426544398069382
INFO  | 06/29/2022 07:14:25 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 20087 iteration 00002760 = 0.03081206977367401
INFO  | 06/29/2022 07:14:29 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 20087 iteration 00002775 = 0.05491194874048233
INFO  | 06/29/2022 07:14:32 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 20088 iteration 00002790 = 0.1352922022342682
INFO  | 06/29/2022 07:14:35 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 20088 iteration 00002805 = 0.07126160711050034
INFO  | 06/29/2022 07:14:38 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 20089 iteration 00002820 = 0.15558838844299316
